"THANAME","DIV_CODE_1","DIST_COD_1","UPZ_CODE_1","Area"
"Keshabpur",40,4041,404138,252900000
"Kotwali",40,4041,404147,436000000
"Manirampur",40,4041,404161,442200000
"Sharsha",40,4041,404190,341700000
"Harinakunda",40,4044,404414,230000000
"Jhenaidah Sadar",40,4044,404419,462100000
"Kaliganj",40,4044,404433,308300000
"Kotchandpur",40,4044,404442,168500000
"Maheshpur",40,4044,404471,415600000
"Shailkupa",40,4044,404480,374700000
"Batiaghata",0,0,404712,237500000
"Dacope",0,0,404717,1103000000
"Daulatpur",0,0,404721,15000000
"Dumuria",0,0,404730,458800000
"Dighalia",0,0,404740,78740000
"Khalishpur",0,0,404745,11950000
"Khan Jahan Ali",0,0,404748,26130000
"Khulna Sadar",0,0,404751,13080000
"Koyra",0,0,404753,1762000000
"Paikgachha",0,0,404764,378100000
"Phultala",0,0,404769,55180000
"Rupsa",0,0,404775,120100000
"Sonadanga",0,0,404785,8768000
"Terokhada",0,0,404794,191800000
"Bheramara",40,4050,405015,149700000
"Daulatpur",40,4050,405039,481900000
"Khoksa",40,4050,405063,108600000
"Kumarkhali",40,4050,405071,268900000
"Kushtia Sadar",40,4050,405079,318400000
"Mirpur",40,4050,405094,310900000
"Magura Sadar",40,4055,405557,403500000
"Mohammadpur",40,4055,405566,225100000
"Shalikha",40,4055,405585,229800000
"Sreepur",40,4055,405595,184800000
"Gangni",40,4057,405747,342200000
"Mujib Nagar",40,4057,405760,113800000
"Meherpur Sadar",40,4057,405787,262600000
"Kalia",40,4065,406528,303500000
"Lohagara",40,4065,406552,293600000
"Narail Sadar",40,4065,406576,389300000
"Assasuni",40,4087,408704,378000000
"Debhata",40,4087,408725,173400000
"Kalaroa",40,4087,408743,233300000
"Kaliganj",40,4087,408747,329900000
"Satkhira Sadar",40,4087,408782,398500000
"Shyamnagar",40,4087,408786,2108000000
"Tala",40,4087,408790,339100000
"Adamdighi",50,5010,501006,170400000
"Bogra Sadar",50,5010,501020,176100000
"Dhunat",50,5010,501027,249800000
"Dhupchanchia",50,5010,501033,162500000
"Gabtali",50,5010,501040,242600000
"Kahaloo",50,5010,501054,240400000
"Nandigram",50,5010,501067,271200000
"Sariakandi",50,5010,501081,417500000
"Shajahanpur",50,5010,501085,221000000
"Sherpur",50,5010,501088,296800000
"Shibganj",50,5010,501094,315500000
"Sonatola",50,5010,501095,160300000
"Akkelpur",50,5038,503813,140600000
"Joypurhat Sadar",50,5038,503847,230300000
"Kalai",50,5038,503858,165500000
"Khetlal",50,5038,503861,143100000
"Panchbibi",50,5038,503874,280900000
"Atrai",50,5064,506403,261800000
"Badalgachhi",50,5064,506406,212200000
"Dhamoirhat",50,5064,506428,301500000
"Manda",50,5064,506447,413500000
"Mahadebpur",50,5064,506450,394000000
"Naogaon Sadar",50,5064,506460,274300000
"Niamatpur",50,5064,506469,450400000
"Patnitala",50,5064,506475,379100000
"Porsha",50,5064,506479,258600000
"Raninagar",50,5064,506485,246400000
"Sapahar",50,5064,506486,244600000
"Bagati Para",50,5069,506909,138900000
"Baraigram",50,5069,506915,303600000
"Gurudaspur",50,5069,506941,199600000
"Lalpur",50,5069,506944,327700000
"Natore Sadar",50,5069,506963,404200000
"Singra",50,5069,506991,529200000
"Bholahat",50,5070,507018,123500000
"Gomastapur",50,5070,507037,318900000
"Nachole",50,5070,507056,283400000
"Chapai Nawabganj Sadar",50,5070,507066,437900000
"Shibganj",50,5070,507088,526000000
"Atgharia",50,5076,507605,181200000
"Bera",50,5076,507616,267900000
"Bhangura",50,5076,507619,129400000
"Chatmohar",50,5076,507622,296100000
"Faridpur",50,5076,507633,139200000
"Ishwardi",50,5076,507639,260400000
"Pabna Sadar",50,5076,507655,432100000
"Santhia",50,5076,507672,330400000
"Sujanagar",50,5076,507683,333300000
"Bagha",0,0,508110,185400000
"Baghmara",0,0,508112,365800000
"Boalia",0,0,508122,15360000
"Charghat",0,0,508125,174600000
"Durgapur",0,0,508131,197900000
"Godagari",0,0,508134,491000000
"Matihar",0,0,508140,9696000
"Mohanpur",0,0,508153,161800000
"Paba",0,0,508172,304700000
"Puthia",0,0,508182,196000000
"Rajpara",0,0,508185,11820000
"Shah Makhdum",0,0,508190,8377000
"Tanore",0,0,508194,296000000
"Belkuchi",50,5088,508811,164800000
"Chauhali",50,5088,508827,254000000
"Kamarkhanda",50,5088,508844,91040000
"Kazipur",50,5088,508850,373900000
"Royganj",50,5088,508861,264600000
"Shahjadpur",50,5088,508867,324500000
"Sirajganj Sadar",50,5088,508878,323400000
"Tarash",50,5088,508889,299900000
"Ullah Para",50,5088,508894,414700000
"Birampur",55,5527,552710,211800000
"Birganj",55,5527,552712,413600000
"Biral",55,5527,552717,350900000
"Bochaganj",55,5527,552721,223900000
"Chirirbandar",55,5527,552730,309900000
"Fulbari",55,5527,552738,227900000
"Ghoraghat",55,5527,552743,152200000
"Hakimpur",55,5527,552747,100800000
"Kaharole",55,5527,552756,204400000
"Khansama",55,5527,552760,180300000
"Dinajpur Sadar",55,5527,552764,357600000
"Nawabganj",55,5527,552769,317200000
"Parbatipur",55,5527,552777,390900000
"Fulchhari",55,5532,553221,304800000
"Gaibandha Sadar",55,5532,553224,321600000
"Gobindaganj",55,5532,553230,461200000
"Palashbari",55,5532,553267,185500000
"Sadullapur",55,5532,553282,228400000
"Saghatta",55,5532,553288,233300000
"Sundarganj",55,5532,553291,407300000
"Bhurungamari",55,5549,554906,238500000
"Char Rajibpur",55,5549,554908,115100000
"Chilmari",55,5549,554909,243400000
"Phulbari",55,5549,554918,163200000
"Kurigram Sadar",55,5549,554952,273900000
"Nageshwari",55,5549,554961,415900000
"Rajarhat",55,5549,554977,163100000
"Raumari",55,5549,554979,200100000
"Ulipur",55,5549,554994,461100000
"Aditmari",55,5552,555202,193000000
"Hatibandha",55,5552,555233,286000000
"Kaliganj",55,5552,555239,237400000
"Lalmonirhat Sadar",55,5552,555255,263400000
"Patgram",55,5552,555270,273200000
"Dimla",55,5573,557312,333100000
"Domar",55,5573,557315,251600000
"Jaldhaka",55,5573,557336,308100000
"Kishoreganj",55,5573,557345,207800000
"Nilphamari Sadar",55,5573,557364,371600000
"Saidpur",55,5573,557385,121500000
"Atwari",55,5577,557704,207900000
"Boda",55,5577,557725,322100000
"Debiganj",55,5577,557734,312500000
"Panchagarh Sadar",55,5577,557773,366500000
"Tentulia",55,5577,557790,190500000
"Badarganj",55,5585,558503,301600000
"Gangachara",55,5585,558527,269000000
"Kaunia",55,5585,558542,148100000
"Rangpur Sadar",55,5585,558549,318700000
"Mitha Pukur",55,5585,558558,516700000
"Pirgachha",55,5585,558573,265000000
"Pirganj",55,5585,558576,411300000
"Taraganj",55,5585,558592,129100000
"Baliadangi",55,5594,559408,280600000
"Haripur",55,5594,559451,200100000
"Pirganj",55,5594,559482,353700000
"Ranisankail",55,5594,559486,290900000
"Thakurgaon Sadar",55,5594,559494,680000000
"Ajmiriganj",60,6036,603602,185500000
"Bahubal",60,6036,603605,262800000
"Baniachong",60,6036,603611,507500000
"Chunarughat",60,6036,603626,501800000
"Habiganj Sadar",60,6036,603644,236800000
"Lakhai",60,6036,603668,190700000
"Madhabpur",60,6036,603671,280300000
"Nabiganj",60,6036,603677,437900000
"Barlekha",60,6058,605814,383200000
"Juri",60,6058,605835,243900000
"Kamalganj",60,6058,605856,418300000
"Kulaura",60,6058,605865,500500000
"Maulvi Bazar Sadar",60,6058,605874,344900000
"Rajnagar",60,6058,605880,343100000
"Sreemangal",60,6058,605883,430900000
"Bishwambarpur",60,6090,609018,186900000
"Chhatak",60,6090,609023,423400000
"Dakshin Sunamganj",60,6090,609027,305700000
"Derai",60,6090,609029,398700000
"Dharampasha",60,6090,609032,500600000
"Dowarabazar",60,6090,609033,293100000
"Jagannathpur",60,6090,609047,368700000
"Jamalganj",60,6090,609050,335800000
"Sulla",60,6090,609086,258100000
"Sunamganj Sadar",60,6090,609089,278000000
"Tahirpur",60,6090,609092,315100000
"Balaganj",60,6091,609108,386200000
"Beani Bazar",60,6091,609117,247100000
"Bishwanath",60,6091,609120,209500000
"Companiganj",60,6091,609127,261900000
"Dakshin Surma",60,6091,609131,188700000
"Fenchuganj",60,6091,609135,112200000
"Golabganj",60,6091,609138,276000000
"Gowainghat",60,6091,609141,482900000
"Jaintiapur",60,6091,609153,271400000
"Kanaighat",60,6091,609159,401200000
"Sylhet Sadar",60,6091,609162,318300000
"Zakiganj",60,6091,609194,264500000
"NA",99,9999,999999,0
