"plot_plot_id","lf_lf_id","_lf_photos_position","lf_photo","pic_pos","pic_pos_label"
"257","2","4","26_00e978f4-3bcf-4510-80a1-b78d2604c860.jpg","7","South > Centre"
"257","3","1","26_f470a549-34f3-4aa4-9a2c-2b0d14099437.jpg","2","Centre > East"
"257","3","2","26_451ba193-3647-4828-aa52-ba5188014373.jpg","3","Centre > South"
"257","3","3","26_eb1b65c2-359a-47ae-8d7b-1da31d1f6208.jpg","4","Centre > West"
"257","3","4","26_dc0f599f-4af5-4f72-ba63-44f7d9014883.jpg","7","South > Centre"
"135","1","1","27_80bcf578-8935-4c1c-bca2-92b206fad654.jpg","1","Centre > North"
"135","1","2","27_3b2507f4-8298-411b-978d-40c675a536f1.jpg","2","Centre > East"
"135","1","3","27_52f6277f-4dc4-49ab-bb01-e3c392b7575e.jpg","3","Centre > South"
"135","1","4","27_80998989-43a7-486f-a181-6090d0e4b0d1.jpg","4","Centre > West"
"314","1","1","28_c9517eba-4041-4ff6-86c3-a124195fab53.jpg","1","Centre > North"
"314","1","2","28_9efa5701-bce3-4d0d-bd04-e7084a3972ca.jpg","2","Centre > East"
"314","1","3","28_bd4f9813-5f93-4bc1-bdd1-8167ea0ec19e.jpg","3","Centre > South"
"314","1","4","28_e277b8e7-5504-4e35-b262-1985c8dd00ae.jpg","4","Centre > West"
"255","1","1","29_c70be3a8-57a0-4334-b724-a2a7f660bfb1.jpg","1","Centre > North"
"255","1","2","29_306b0d46-bda1-47ad-91c2-fe418d038428.jpg","2","Centre > East"
"255","1","3","29_8ec3f733-39e4-405b-b6b9-5bb499cd60bf.jpg","3","Centre > South"
"255","1","4","29_85fb507f-1104-4739-88ea-c167e70f8963.jpg","4","Centre > West"
"1526","1","1","30_e34299bb-271e-4cd3-b8d1-3acfe324a135.jpg","8","West > Centre"
"1527","1","1","31_e249ff7d-f65b-4be7-9554-ea556d35455d.jpg","1","Centre > North"
"1527","1","2","31_1b8dea2c-509d-4f36-b068-78e1b60c4d75.jpg","2","Centre > East"
"1527","1","3","31_ef0f309f-8f39-44c8-858b-a357039aaca8.jpg","3","Centre > South"
"1527","1","4","31_2ad3b623-20f1-42a4-9a16-456cd043eb60.jpg","4","Centre > West"
"1527","2","1","31_442ddbe8-bfae-44ff-8121-b3966c2108ec.jpg","7","South > Centre"
"1527","2","2","31_c0bae0c6-81a9-4f72-9d4a-f61b0e5991dc.jpg","7","South > Centre"
"1522","1","1","32_973b28cb-ad22-4626-99b8-96c6f881308e.jpg","1","Centre > North"
"1522","1","2","32_87022ab4-0347-4666-95c8-76ba609395cb.jpg","2","Centre > East"
"1522","1","3","32_d721ab8b-860d-4aa1-bc8f-e1bfb77a25d8.jpg","3","Centre > South"
"1522","1","4","32_ab957438-3938-4b08-a6de-315b2b63f1d8.jpg","4","Centre > West"
"1522","2","1","32_049f8f18-426f-4a84-9c99-6db835746c90.jpg","3","Centre > South"
"1522","2","2","32_cbc46a4b-3ced-4a8b-90b9-571068185548.jpg","4","Centre > West"
"1714","1","1","33_6f809989-cc84-428e-afdf-1eff91ff03a4.jpg","1","Centre > North"
"1714","1","2","33_cf758844-2ab5-4322-aebe-a9e1c32a07f6.jpg","2","Centre > East"
"1714","1","3","33_0b5a8bb5-9dba-4567-909f-8ad568daf96f.jpg","3","Centre > South"
"1714","1","4","33_5d379d35-d474-4f9f-ac9f-9150668b8b23.jpg","4","Centre > West"
"1714","2","1","33_49060d4e-45bc-4629-8b75-5d71eddceff6.jpg","1","Centre > North"
"1714","2","2","33_5141f820-bc19-4dbb-ae83-eb5f6714edb7.jpg","3","Centre > South"
"1714","2","3","33_7737a518-14df-4f3e-a05b-8c1428d873d8.jpg","2","Centre > East"
"1523","1","1","34_50c0e21f-85d7-4c4f-a31c-25fcaf67d6a9.jpg","1","Centre > North"
"1523","1","2","34_6dd6090e-a9f5-40e0-aaa8-7fc4f2f462a8.jpg","2","Centre > East"
"1523","1","3","34_1568d252-af3d-44b2-9648-f387f5c423cc.jpg","3","Centre > South"
"1523","1","4","34_4555ddec-8683-44ac-8f81-d3bd3490965c.jpg","4","Centre > West"
"1523","2","1","34_d09eb43d-8dc7-429d-8555-32065b5b7aaf.jpg","2","Centre > East"
"1523","2","2","34_31cfe242-73cb-47dc-a06d-8b8eea9d2641.jpg","4","Centre > West"
"226","1","1","35_94542288-62bc-4e92-b3de-d7970e7ff2d3.jpg","1","Centre > North"
"226","1","2","35_48c2b477-282d-45a6-b1b4-ffc221422314.jpg","2","Centre > East"
"226","1","3","35_307b7859-3dc5-4c4a-bdc2-000dc518250d.jpg","3","Centre > South"
"226","1","4","35_254ab6fb-111a-4f5e-9f38-6061680491cc.jpg","4","Centre > West"
"232","1","1","36_fb9130b3-9d4c-4dcf-a082-860e4b3ee4c6.jpg","1","Centre > North"
"232","1","2","36_94b3b973-4cfe-4097-9b78-8c697e8a2403.jpg","2","Centre > East"
"232","1","3","36_b46c5f8b-a743-47ab-aeca-7138c6bf4938.jpg","3","Centre > South"
"232","1","4","36_cd34c40f-5499-44bb-be15-005e22abae73.jpg","4","Centre > West"
"236","1","1","37_8d590bbf-319f-4c6a-95e3-f6e591a674ca.jpg","1","Centre > North"
"236","1","2","37_635f2c49-2bda-485d-bb3b-1e0639c3ebcd.jpg","2","Centre > East"
"236","1","3","37_a4d077b0-eff5-4192-bf34-5a62ffe6815b.jpg","3","Centre > South"
"236","1","4","37_38e87ccf-ef7f-48c0-aa1b-2cd47b381836.jpg","4","Centre > West"
"303","1","1","38_a8f8556f-4da9-4546-a3b4-b1b7f393ed33.jpg","1","Centre > North"
"303","1","2","38_5976115d-69f7-40ef-9e84-cd5452ac478a.jpg","2","Centre > East"
