"ID_WD","Tree_type","Vegetation_type","Region","location_group","Ecoregion_Udvardy","Ecoregion_WWF","Division_Bailey","Zone_Holdridge","ID_species","ID_reference","ID_RD","H_tree_avg","H_tree_min","H_tree_max","DBH_tree_avg","DBH_tree_min","DBH_tree_max","m_WD","MC_m","V_WD","MC_V","CR","FSP","Methodology_Green","Methodology_Airdry","Bark","Methodology_Ovendry","Density_green","Density_airdry","Density_ovendry","MC_Density","Data_origin","Data_type","Samples_per_tree","Number_of_trees","SD","Min","Max","H_measure","Bark_distance","CV","Convert_BD","Contributor","Remark"
164,"Tree","NA","NA",99,"NA","NA","NA","NA",1268,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.66,0.72,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy wood"
165,"Tree","NA","NA",99,"NA","NA","NA","NA",1268,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.62",0.65,0.72,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderate heavy"
166,"Tree","NA","NA",99,"NA","NA","NA","NA",1265,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.29",0.33,0.33,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","light"
167,"Tree","NA","NA",99,"NA","NA","NA","NA",1282,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.45,0.5,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Light wood"
168,"Tree","NA","NA",99,"NA","NA","NA","NA",1285,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.57,0.61,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderately heavy wood"
169,"Tree","NA","NA",99,"NA","NA","NA","NA",1285,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.53",0.58,0.61,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderate heavy"
170,"Tree","NA","NA",99,"NA","NA","NA","NA",1427,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.64,0.68,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderately heavy wood"
171,"Tree","NA","NA",99,"NA","NA","NA","NA",1302,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.63,0.65,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderately heavy wood"
172,"Tree","NA","NA",99,"NA","NA","NA","NA",1302,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.56,0.6,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderately heavy wood"
173,"Tree","NA","NA",99,"NA","NA","NA","NA",1301,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.64,0.69,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderately heavy wood"
174,"Tree","NA","NA",99,"NA","NA","NA","NA",1307,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.62,0.69,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderately heavy wood"
175,"Tree","NA","NA",99,"NA","NA","NA","NA",1318,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.67,0.74,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy wood"
176,"Tree","NA","NA",99,"NA","NA","NA","NA",1326,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.72,0.77,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy wood"
177,"Tree","NA","NA",99,"NA","NA","NA","NA",1427,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.68",0.72,0.79,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy"
179,"Tree","NA","NA",99,"NA","NA","NA","NA",1333,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.75,0.82,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy wood"
180,"Tree","NA","NA",99,"NA","NA","NA","NA",1333,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.69",0.76,0.79,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy"
181,"Tree","NA","NA",99,"NA","NA","NA","NA",1345,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.57,0.61,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderately heavy wood"
182,"Tree","NA","NA",99,"NA","NA","NA","NA",1345,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.58",0.59,0.61,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderate heavy"
183,"Tree","NA","NA",99,"NA","NA","NA","NA",1349,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.71,0.77,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy wood"
184,"Tree","NA","NA",99,"NA","NA","NA","NA",1352,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.68,0.74,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy wood"
185,"Tree","NA","NA",99,"NA","NA","NA","NA",1349,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.67",0.71,0.78,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy"
186,"Tree","NA","NA",99,"NA","NA","NA","NA",1352,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.64",0.74,0.78,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy"
187,"Tree","NA","NA",99,"NA","NA","NA","NA",1360,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.38,0.41,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Light wood"
188,"Tree","NA","NA",99,"NA","NA","NA","NA",1360,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.31",0.33,0.36,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","light"
189,"Tree","NA","NA",99,"NA","NA","NA","NA",895,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.41,0.44,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Light wood"
190,"Tree","NA","NA",99,"NA","NA","NA","NA",895,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.4",0.42,0.44,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","light"
191,"Tree","NA","NA",99,"NA","NA","NA","NA",1401,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.77,0.85,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy wood"
192,"Tree","NA","NA",99,"NA","NA","NA","NA",1400,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.89,0.94,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Very heavy wood"
193,"Tree","NA","NA",99,"NA","NA","NA","NA",1400,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.84",0.89,0.94,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Very heavy"
194,"Tree","NA","NA",99,"NA","NA","NA","NA",1389,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.66,0.71,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy wood"
195,"Tree","NA","NA",99,"NA","NA","NA","NA",1447,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.51,0.56,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderately heavy wood"
196,"Tree","NA","NA",99,"NA","NA","NA","NA",1447,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.5",0.52,0.56,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderate heavy"
197,"Tree","NA","NA",99,"NA","NA","NA","NA",1418,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.88,0.97,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Very heavy wood"
198,"Tree","NA","NA",99,"NA","NA","NA","NA",1429,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.59,0.64,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderately heavy wood"
199,"Tree","NA","NA",99,"NA","NA","NA","NA",1429,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.64",0.66,0.73,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy"
200,"Tree","NA","NA",99,"NA","NA","NA","NA",1112,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.62,0.68,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderately heavy wood"
