"ID","local_name","botanical_id","Species_ID"
2467,"Kra sang ban",826,1086
2468,"Mula",826,1086
2469,"Naichicha Udal",826,1086
2470,"Ujal",826,1086
2471,"Pata-gota",826,1086
2472,"Samarri",826,1086
2473,"Pisi",826,500
2474,"",826,500
2475,"Atmora",828,500
2476,"Pichrangi",828,500
2477,"",828,500
2478,"Sundri",829,500
2479,"Sunder",829,500
2480,"",829,500
2481,"Sundri",830,500
2482,"Aina",830,500
2483,"Pandura sundri",830,500
2484,"",830,1243
2485,"Boroi",831,1243
2486,"",831,1243
2487,"Bola",832,1244
2488,"",832,1244
2489,"Muskanda",833,1244
2490,"Muchakunda",833,1245
2491,"Muchighanda",833,1245
2492,"Kanak-champa",833,1245
2493,"Modubura",833,1245
2494,"Moos",833,1245
2495,"",833,1246
2496,"Bankula",834,1246
2497,"Narcha",834,1246
2498,"",834,1246
2499,"Bara Assar",835,1246
2500,"Laona Assar",835,1383
2501,"Arsol",835,1383
2502,"Nwalein bang",835,1383
2503,"Ramtana",835,1383
2504,"Ramachar",835,1383
2505,"",835,1
2506,"Buddha-narikel",836,1
2507,"Badam ",836,1
2508,"Jangli badam",836,1
2509,"Kat badam ",836,627
2510,"Kufal",836,627
2511,"Lakha",836,627
2512,"Nankheli",836,627
2513,"Sachamia",836,627
2514,"Tula narikeli",836,627
2515,"",836,627
2516,"Shampan",837,627
2517,"Pogan",837,627
2518,"Shogan",837,627
2519,"Sugan",837,727
2520,"",837,727
2521,"Udal",839,727
2522,"Udal Badam",839,733
2523,"Jongli Badam",839,733
2524,"",839,733
2525,"Raiphal",840,1461
2526,"Bansal",840,1461
2527,"",840,1461
2528,"Bhui udal",842,1461
2529,"",842,1462
2530,"Udal",845,1462
2531,"Chandul",845,798
2532,"Bara ujal",845,798
2533,"Fasya udal",845,1140
2534,"Odra",845,1140
2535,"Sambeing",845,1140
2536,"Umak",845,1140
2537,"",845,1140
2538,"Fulkat",846,1140
2539,"Kanchani",846,1140
2540,"Kumjamova",846,1141
2541,"Kurchini",846,1141
2542,"",846,1141
2543,"Buri",848,1142
2544,"Bhongri",848,1142
2545,"",848,1142
2546,"Bhauri",851,1142
2547,"",851,1142
2548,"Lodh",855,1142
