ID_AE,ID_RD,Population,Tree_type,Vegetation_type,location_group,X,Unit_X,Z,Unit_Z,W,Unit_W,U,Unit_U,V,Unit_V,Mean_X,Min_X,Max_X,Mean_Z,Min_Z,Max_Z,Mean_W,Min_W,Max_W,Output,Output_TR,Unit_Y,Min_age,Max_age,Av_age,B,Bd,Bg,Bt,L,Rb,Rf,Rm,S,T,F,Species,Equation,Equation_VarNames,Sample_size,Top_dob,Top_girth_over_bark,Stump_height,Reference,R2,R2_Adjusted,Corrected_for_bias,MSE,RMSE,SE_(Y),SEE,AIC,FI,Bias_correction,Ratio_equation,Segmented_equation,Contributor,Remark,Verified
21,NA,Individual,Tree,Plantation,19,DBH,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,25,NA,NA,NA,NA,NA,NA,Green Biomass,Log,kg,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,9,Y = -2.5173 + 2.281 * Log (X),Log Green Biomass = -2.5173 + 2.281 * Log (DBH),120,NA,NA,0.1,101,0.8098,NA,NA,0.1641,NA,NA,NA,NA,NA,NA,NA,NA,1,Equations with DBH is more suitable than equations with DBH and H,verified
22,NA,Individual,Tree,Plantation,19,C,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,79,NA,NA,NA,NA,NA,NA,Green Biomass,Log,kg,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,9,Y = -5.1284 + 8.281 * Log (X),Log Green Biomass = -5.1284 + 8.281 * Log (C),120,NA,NA,0.1,101,0.8098,NA,NA,0.1641,NA,NA,NA,NA,NA,NA,NA,NA,1,Equations with DBH is more suitable than equations with DBH and H,
23,NA,Individual,Tree,Plantation,19,DBH,cm,H,m,NA,NA,NA,NA,NA,NA,NA,5,25,NA,6,18,NA,NA,NA,Green Biomass,Log,kg,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,9,Y = -2.9974 + 1.98 * Log (X) + 0.494 * Log (Z),Log Green Biomass = -2.9974 + 1.98 * Log (DBH) + 0.494 * Log (H),120,NA,NA,0.1,101,0.8115,NA,NA,0.1613,NA,NA,NA,NA,NA,NA,NA,NA,1,Equations with DBH is more suitable than equations with DBH and H,verified
24,NA,Individual,Tree,Plantation,19,C,cm,H,m,NA,NA,NA,NA,NA,NA,NA,16,79,NA,6,18,NA,NA,NA,Green Biomass,Log,kg,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,9,Y = -5.264 + 1.98 * Log (X) + 0.494 * Log (Z),Log Green Biomass = -5.264 + 1.98 * Log (C) + 0.494 * Log (H),120,NA,NA,0.1,101,0.8115,NA,NA,0.1613,NA,NA,NA,NA,NA,NA,NA,NA,1,Equations with DBH is more suitable than equations with DBH and H,verified
25,NA,Individual,Tree,Plantation,2,DBH,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,43,NA,NA,NA,NA,NA,NA,Volume,NA,m3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,10,Y= -0.0306 + 0.000558967 * X^(2),Volume= -0.0306 + 0.000558967 * DBH^(2),713,NA,NA,NA,102,0.927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
26,NA,Individual,Tree,Plantation,2,C,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,135,NA,NA,NA,NA,NA,NA,Volume,NA,m3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,10,Y = -0.0306 + 0.00005664 * X^(2),Volume = -0.0306 + 0.00005664 * C^(2),713,NA,NA,NA,102,0.927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
27,NA,Individual,Tree,Plantation,2,DBH,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,43,NA,NA,NA,NA,NA,NA,Volume,NA,m3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,10,Y = -0.0332 + 0.0004922 * X^(2),Volume = -0.0332 + 0.0004922 * DBH^(2),713,7,NA,NA,102,0.944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
28,NA,Individual,Tree,Plantation,2,C,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,135,NA,NA,NA,NA,NA,NA,Volume,NA,m3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,10,Y = -0.0332 + 0.00004986 * X^(2),Volume = -0.0332 + 0.00004986 * C^(2),713,7,NA,NA,102,0.944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
29,NA,Individual,Tree,Plantation,2,DBH,cm,H,m,NA,NA,NA,NA,NA,NA,NA,9,43,NA,6,22,NA,NA,NA,Volume,NA,m3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,10,Y = 0.0117 + 0.0000280056 * X^(2) * Z,Volume = 0.0117 + 0.0000280056 * DBH^(2) * H,713,NA,NA,NA,102,0.912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,verified
30,NA,Individual,Tree,Plantation,2,C,cm,H,m,NA,NA,NA,NA,NA,NA,NA,28,135,NA,6,22,NA,NA,NA,Volume,NA,m3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,10,Y = 0.0117 + 0.00000283756 * X^(2) * Z,Volume = 0.0117 + 0.00000283756 * C^(2) * H,713,NA,NA,NA,102,0.912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,verified
