"plot_plot_id","subplot_subp_id","lf_subp_lfno","lf_s_percent","lf_m_count","lf_m_percent","lf_l_count","lf_l_percent"
"1550","1","1","100","44","100","256","100.0"
"1550","2","1","100","44","100","256","100.0"
"1550","3","1","100","44","100","256","100.0"
"1550","4","1","100","44","100","256","100.0"
"1550","5","1","100","44","100","256","100.0"
"312","1","1","100","44","100","256","100.0"
"312","2","1","100","44","100","256","100.0"
"312","3","1","100","44","100","256","100.0"
"312","4","1","100","44","100","256","100.0"
"312","5","1","100","44","100","256","100.0"
"313","1","1","0","44","100","256","100.0"
"313","2","1","0","44","100","256","100.0"
"313","3","1","0","44","100","256","100.0"
"1495","1","1","100","44","100","256","100.0"
"1495","2","1","100","44","100","256","100.0"
"1495","3","1","100","44","100","256","100.0"
"1495","4","1","100","44","100","256","100.0"
"1495","5","1","100","44","100","256","100.0"
"1498","1","1","100","44","100","256","100.0"
"1498","2","1","100","44","100","256","100.0"
"1498","3","1","100","44","100","256","100.0"
"1498","4","1","100","44","100","256","100.0"
"1498","5","1","100","44","100","256","100.0"
"1716","1","1","100","44","100","256","100.0"
"1716","2","1","100","44","100","256","100.0"
"1716","3","1","100","44","100","256","100.0"
"1716","4","1","100","44","100","256","100.0"
"1716","5","1","100","44","100","256","100.0"
"1709","1","1","0","1","2","61","23.828125"
"1709","1","2","100","43","98","195","76.171875"
"1709","2","1","0","0","0","29","11.328125"
"1709","2","2","100","44","100","227","88.671875"
"1709","3","1","0","0","0","59","23.046875"
"1709","3","2","100","44","100","197","76.953125"
"1709","4","1","100","4","9","72","28.125"
"1709","4","2","0","40","91","184","71.875"
"1709","5","1","0","44","100","256","100.0"
"1724","1","1","100","44","100","256","100.0"
"1724","2","1","100","44","100","256","100.0"
"1724","3","1","100","44","100","256","100.0"
"1724","4","1","100","44","100","256","100.0"
"1724","5","1","100","44","100","256","100.0"
"1704","1","1","100","44","100","256","100.0"
"1704","2","1","100","44","100","256","100.0"
"1704","3","1","100","44","100","211","82.421875"
"1704","3","2","0","0","0","45","17.578125"
"1704","4","1","100","44","100","256","100.0"
"1704","4","2","0","0","0","0","0.0"
"1704","5","1","100","44","100","256","100.0"
"1721","1","1","100","44","100","256","100.0"
"1721","2","1","100","44","100","256","100.0"
"1721","3","1","100","44","100","256","100.0"
"1721","4","1","100","44","100","256","100.0"
"1721","5","1","100","44","100","256","100.0"
"1725","1","1","100","28","64","110","42.96875"
"1725","1","2","0","16","36","93","36.328125"
"1725","1","3","0","0","0","37","14.453125"
"1725","1","4","0","0","0","16","6.25"
"1725","2","1","0","0","0","0","0.0"
"1725","2","2","100","44","100","235","91.796875"
"1725","2","3","0","0","0","21","8.203125"
"1725","3","1","0","10","23","99","38.671875"
"1725","3","2","100","34","77","157","61.328125"
"1725","3","3","0","0","0","0","0.0"
"1725","3","4","0","0","0","0","0.0"
"1725","4","1","100","44","100","195","76.171875"
"1725","4","2","0","0","0","0","0.0"
"1725","4","3","0","0","0","36","14.0625"
"1725","4","4","0","0","0","25","9.765625"
"1725","5","4","100","44","100","256","100.0"
"1717","1","1","100","44","100","256","100.0"
"1717","2","1","100","44","100","256","100.0"
"1717","3","1","100","44","100","256","100.0"
"1717","4","1","100","44","100","256","100.0"
"1717","5","1","100","44","100","256","100.0"
"1718","1","1","0","44","100","256","100.0"
"1718","2","1","100","44","100","256","100.0"
"1718","3","1","100","44","100","256","100.0"
"1718","4","1","100","44","100","256","100.0"
"1718","5","1","100","44","100","256","100.0"
"1723","1","1","100","44","100","253","98.828125"
"1723","1","2","0","0","0","3","1.171875"
"1723","2","2","0","44","100","256","100.0"
"1723","3","2","100","44","100","256","100.0"
"1723","4","1","100","44","100","226","88.28125"
"1723","4","2","0","0","0","30","11.71875"
"1723","5","1","100","44","100","195","76.171875"
"1723","5","2","0","0","0","61","23.828125"
"1708","1","1","100","44","100","256","100.0"
"1708","2","1","0","44","100","256","100.0"
"1708","3","1","0","44","100","256","100.0"
"1708","4","1","0","44","100","256","100.0"
"1708","5","1","0","44","100","256","100.0"
"1720","1","1","100","44","100","256","100.0"
"1720","2","1","100","44","100","256","100.0"
"1720","3","1","100","44","100","256","100.0"
"1720","4","1","100","44","100","256","100.0"
"1720","5","1","100","44","100","256","100.0"
"1719","1","1","100","44","100","256","100.0"
"1719","2","1","100","44","100","201","78.515625"
"1719","2","2","0","0","0","55","21.484375"
"1719","3","1","100","38","86","169","66.015625"
"1719","3","2","0","6","14","87","33.984375"
"1719","4","1","100","44","100","256","100.0"
"1719","5","1","100","44","100","256","100.0"
"1524","1","1","100","44","100","256","100.0"
"1524","2","1","100","44","100","256","100.0"
"1524","3","1","100","44","100","256","100.0"
"1524","4","1","0","22","50","222","86.71875"
"1524","4","2","100","22","50","34","13.28125"
"1524","5","1","100","44","100","256","100.0"
"1500","1","1","100","44","100","256","100.0"
"1500","2","2","0","6","14","26","10.15625"
"1500","2","1","100","38","86","230","89.84375"
"1500","3","1","100","40","91","246","96.09375"
"1500","3","2","0","4","9","10","3.90625"
"1500","4","1","100","44","100","256","100.0"
"1500","5","1","100","38","86","244","95.3125"
"1500","5","2","0","6","14","12","4.6875"
"253","1","1","100","44","100","219","85.546875"
"253","1","2","0","0","0","37","14.453125"
"253","2","2","100","44","100","256","100.0"
"253","3","1","100","28","64","163","63.671875"
"253","3","2","0","16","36","93","36.328125"
"253","4","2","100","44","100","256","100.0"
"253","5","1","100","15","34","90","35.15625"
"253","5","2","0","29","66","166","64.84375"
"44","1","1","100","44","100","256","100.0"
"44","3","1","100","44","100","256","100.0"
"42","3","1","100","44","100","256","100.0"
"41","1","1","100","44","100","256","100.0"
"41","2","1","100","44","100","256","100.0"
"41","3","1","100","44","100","256","100.0"
"486","1","1","100","44","100","256","100.0"
"486","2","1","100","44","100","256","100.0"
"486","3","1","100","44","100","256","100.0"
"516","1","1","100","44","100","256","100.0"
"516","2","1","100","44","100","256","100.0"
"516","3","1","100","44","100","256","100.0"
"507","1","1","100","44","100","256","100.0"
"507","2","1","100","44","100","256","100.0"
"507","3","1","100","44","100","256","100.0"
"815","1","1","100","44","100","256","100.0"
"815","2","1","100","44","100","256","100.0"
"815","3","1","100","44","100","256","100.0"
"482","1","1","100","44","100","256","100.0"
"482","2","1","100","44","100","256","100.0"
"482","3","1","100","44","100","256","100.0"
"818","1","1","100","44","100","256","100.0"
"818","2","1","100","44","100","256","100.0"
"818","3","1","100","44","100","256","100.0"
"13","1","1","100","44","100","256","100.0"
"13","2","1","100","44","100","256","100.0"
"13","3","1","100","44","100","256","100.0"
"816","1","1","100","44","100","256","100.0"
"816","2","1","100","44","100","256","100.0"
"816","3","1","100","44","100","256","100.0"
"510","1","1","100","44","100","256","100.0"
"510","2","1","100","44","100","256","100.0"
"510","3","1","100","44","100","256","100.0"
"810","1","1","100","44","100","256","100.0"
"810","2","1","100","44","100","256","100.0"
"810","3","1","100","44","100","256","100.0"
"826","1","1","100","44","100","256","100.0"
"826","2","1","100","44","100","256","100.0"
"826","3","1","100","44","100","256","100.0"
"804","1","1","0","44","100","256","100.0"
"804","2","1","0","44","100","256","100.0"
"804","3","1","100","44","100","256","100.0"
"832","1","1","100","44","100","256","100.0"
"832","2","1","100","44","100","256","100.0"
"832","3","1","100","44","100","256","100.0"
"509","1","1","100","44","100","256","100.0"
"509","2","1","100","44","100","256","100.0"
"509","3","1","100","44","100","256","100.0"
"504","1","1","100","44","100","256","100.0"
"504","2","1","100","44","100","256","100.0"
"504","3","1","100","44","100","256","100.0"
"512","1","1","100","44","100","256","100.0"
"512","2","1","100","44","100","256","100.0"
"512","3","1","100","44","100","256","100.0"
"819","1","1","100","44","100","256","100.0"
"819","2","1","100","44","100","256","100.0"
"819","3","1","100","44","100","256","100.0"
"806","1","1","100","44","100","256","100.0"
"806","2","1","100","44","100","256","100.0"
"806","3","1","100","44","100","256","100.0"
"824","1","1","100","44","100","256","100.0"
"824","2","1","100","44","100","256","100.0"
"824","3","1","100","44","100","256","100.0"
"502","1","1","100","44","100","256","100.0"
"502","2","1","100","44","100","256","100.0"
"502","3","1","100","44","100","256","100.0"
"511","1","1","100","44","100","256","100.0"
"511","2","1","100","44","100","256","100.0"
"511","3","1","100","44","100","256","100.0"
"513","1","1","100","44","100","256","100.0"
"513","2","1","100","44","100","256","100.0"
"513","3","1","100","44","100","256","100.0"
"8","1","1","100","44","100","256","100.0"
"8","2","1","100","44","100","256","100.0"
"8","3","1","100","44","100","256","100.0"
"7","1","1","100","44","100","256","100.0"
"7","2","1","100","44","100","256","100.0"
"7","3","1","100","44","100","256","100.0"
"821","1","1","100","44","100","256","100.0"
"821","2","1","100","44","100","256","100.0"
"821","3","1","100","44","100","256","100.0"
"833","1","1","100","44","100","256","100.0"
"833","2","1","100","44","100","256","100.0"
"833","3","1","100","44","100","256","100.0"
"814","1","1","100","44","100","256","100.0"
"814","2","1","100","44","100","256","100.0"
"814","3","1","100","44","100","256","100.0"
"828","1","1","100","44","100","256","100.0"
"828","2","1","100","44","100","256","100.0"
"811","1","1","100","44","100","256","100.0"
"811","2","1","100","44","100","256","100.0"
"811","3","1","100","44","100","256","100.0"
"822","1","1","100","44","100","256","100.0"
"822","2","1","100","44","100","256","100.0"
"822","3","1","100","44","100","256","100.0"
"831","1","1","100","44","100","256","100.0"
"831","2","1","100","44","100","256","100.0"
"803","1","1","0","44","100","256","100.0"
"803","2","1","100","44","100","256","100.0"
"803","3","1","100","44","100","256","100.0"
"843","1","1","100","44","100","256","100.0"
"843","2","1","100","44","100","256","100.0"
"843","3","1","100","44","100","256","100.0"
"839","1","1","100","44","100","256","100.0"
"839","2","1","100","44","100","256","100.0"
"839","3","1","100","44","100","256","100.0"
"39","1","1","100","44","100","256","100.0"
"39","2","1","100","44","100","256","100.0"
"39","3","1","100","44","100","256","100.0"
"37","1","1","100","44","100","256","100.0"
"35","2","1","100","44","100","256","100.0"
"36","2","1","100","44","100","256","100.0"
"36","3","1","100","44","100","256","100.0"
"481","1","1","100","26","59","210","82.03125"
"481","2","1","100","44","100","256","100.0"
"481","3","1","100","44","100","256","100.0"
"836","1","1","100","44","100","256","100.0"
"836","3","1","100","44","100","256","100.0"
"836","2","1","100","44","100","256","100.0"
"505","1","1","100","44","100","256","100.0"
"505","2","1","100","44","100","256","100.0"
"505","3","1","100","44","100","256","100.0"
"823","1","1","100","44","100","256","100.0"
"823","2","1","100","44","100","256","100.0"
"823","3","1","100","44","100","256","100.0"
"802","1","1","100","44","100","256","100.0"
"802","2","1","100","44","100","256","100.0"
"802","3","1","100","44","100","256","100.0"
"508","1","1","100","44","100","256","100.0"
"508","3","1","100","44","100","256","100.0"
"829","1","1","100","44","100","256","100.0"
"829","2","1","100","44","100","256","100.0"
"829","3","1","100","44","100","256","100.0"
"805","1","1","100","44","100","256","100.0"
"805","2","1","100","44","100","256","100.0"
"805","3","1","100","44","100","256","100.0"
"517","1","1","100","44","100","256","100.0"
"517","2","1","100","44","100","256","100.0"
"517","3","1","100","44","100","256","100.0"
"830","1","1","100","44","100","256","100.0"
"830","2","1","100","44","100","256","100.0"
"830","3","1","100","44","100","256","100.0"
"801","1","1","100","44","100","256","100.0"
"801","2","1","100","44","100","256","100.0"
"801","3","1","100","44","100","256","100.0"
"812","1","1","100","44","100","256","100.0"
"812","2","1","100","44","100","256","100.0"
"812","3","1","100","44","100","256","100.0"
"834","1","1","100","44","100","256","100.0"
"834","2","1","100","44","100","256","100.0"
"827","1","1","100","44","100","256","100.0"
"827","2","1","100","44","100","256","100.0"
"827","3","1","100","44","100","256","100.0"
"809","2","1","100","44","100","256","100.0"
"809","3","1","100","44","100","256","100.0"
"837","1","1","100","44","100","256","100.0"
"837","2","1","100","44","100","256","100.0"
